Date,Close
1/3/2022 16:00:00,20.63
1/4/2022 16:00:00,20.69
1/5/2022 16:00:00,20.33
1/6/2022 16:00:00,20.11
1/7/2022 16:00:00,20.03
1/10/2022 16:00:00,20.06
1/11/2022 16:00:00,19.75
1/12/2022 16:00:00,19.75
1/13/2022 16:00:00,19.71
1/14/2022 16:00:00,20.01
1/18/2022 16:00:00,19.83
1/19/2022 16:00:00,19.55
1/20/2022 16:00:00,19.27
1/21/2022 16:00:00,19.35
1/24/2022 16:00:00,19.31
1/25/2022 16:00:00,19.4
1/26/2022 16:00:00,19.31
1/27/2022 16:00:00,19.44
1/28/2022 16:00:00,19.58
1/31/2022 16:00:00,19.7
2/1/2022 16:00:00,19.68
2/2/2022 16:00:00,19.43
2/3/2022 16:00:00,19.25
2/4/2022 16:00:00,19.2
2/7/2022 16:00:00,19.27
2/8/2022 16:00:00,19.28
2/9/2022 16:00:00,19.39
2/10/2022 16:00:00,19.6
2/11/2022 16:00:00,19.33
2/14/2022 16:00:00,18.86
2/15/2022 16:00:00,18.73
2/16/2022 16:00:00,19.1
2/17/2022 16:00:00,18.96
2/18/2022 16:00:00,18.87
2/22/2022 16:00:00,18.62
2/23/2022 16:00:00,18.69
2/24/2022 16:00:00,18.9
2/25/2022 16:00:00,19.12
2/28/2022 16:00:00,19.17
3/1/2022 16:00:00,18.89
3/2/2022 16:00:00,19.11
3/3/2022 16:00:00,19.11
3/4/2022 16:00:00,19.12
3/7/2022 16:00:00,18.67
3/8/2022 16:00:00,19.05
3/9/2022 16:00:00,18.98
3/10/2022 16:00:00,19.09
3/11/2022 16:00:00,19.1
3/14/2022 16:00:00,18.96
3/15/2022 16:00:00,18.75
3/16/2022 16:00:00,18.82
3/17/2022 16:00:00,18.97
3/18/2022 16:00:00,18.95
3/21/2022 16:00:00,18.69
3/22/2022 16:00:00,18.74
3/23/2022 16:00:00,18.6
3/24/2022 16:00:00,18.65
3/25/2022 16:00:00,18.39
3/28/2022 16:00:00,18.6
3/29/2022 16:00:00,18.79
3/30/2022 16:00:00,19.06
3/31/2022 16:00:00,18.8
4/1/2022 16:00:00,19.07
4/4/2022 16:00:00,19.1
4/5/2022 16:00:00,19.08
4/6/2022 16:00:00,19
4/7/2022 16:00:00,18.73
4/8/2022 16:00:00,18.54
4/11/2022 16:00:00,18.32
4/12/2022 16:00:00,18.3
4/13/2022 16:00:00,18.19
4/14/2022 16:00:00,18.67
4/18/2022 16:00:00,18.69
4/19/2022 16:00:00,18.8
4/20/2022 16:00:00,19.34
4/21/2022 16:00:00,19.23
4/22/2022 16:00:00,19.26
4/25/2022 16:00:00,19.52
4/26/2022 16:00:00,19.22
4/27/2022 16:00:00,19.13
4/28/2022 16:00:00,19.21
4/29/2022 16:00:00,18.7
5/2/2022 16:00:00,18.35
5/3/2022 16:00:00,18.6
5/4/2022 16:00:00,18.5
5/5/2022 16:00:00,18.48
5/6/2022 16:00:00,18.48
5/9/2022 16:00:00,18.24
5/10/2022 16:00:00,18.05
5/11/2022 16:00:00,18.02
5/12/2022 16:00:00,18.33
5/13/2022 16:00:00,18.74
5/16/2022 16:00:00,18.97
5/17/2022 16:00:00,19.05
5/18/2022 16:00:00,18.79
5/19/2022 16:00:00,18.26
5/20/2022 16:00:00,18.08
5/23/2022 16:00:00,18.18
5/24/2022 16:00:00,18.39
5/25/2022 16:00:00,18.51
5/26/2022 16:00:00,18.83
